target_transcript_id,partner_transcript_id,or_threshold_target,or_threshold_partner,and_threshold
ENST00000085219.9,ENST00000336553.10,4.6189,-1.6394,-0.9195647296387706
ENST00000085219.9,ENST00000292408.8,4.6189,6.7757,0.44969199178644764
ENST00000085219.9,ENST00000282397.8,4.6189,4.812,0.5336501455774572
ENST00000085219.9,ENST00000241453.11,4.6189,3.4464,0.2172363812054596
ENST00000085219.9,ENST00000229030.4,4.6189,0.679,0.17962616258002173
ENST00000085219.9,ENST00000286201.2,4.6189,5.579,0.41854390626887306
ENST00000085219.9,ENST00000355422.10,4.6189,-1.9379,-4.357769282662469
ENST00000085219.9,ENST00000382487.4,4.6189,-3.1714,0.697381930184805
ENST00000085219.9,ENST00000228887.5,4.6189,-1.2828,-2.0259001895135818
ENST00000085219.9,ENST00000339252.7,4.6189,-0.5543,-395.92857142857144
ENST00000085219.9,ENST00000376802.2,4.6189,2.0844,0.19168981761082257
ENST00000085219.9,ENST00000374982.5,4.6189,3.9108,0.3709838144703467
ENST00000085219.9,ENST00000360004.5,4.6189,10.1602,0.5130059915241852
ENST00000085219.9,ENST00000268035.10,4.6189,3.0688,0.43833796352216453
ENST00000085219.9,ENST00000256876.10,4.6189,0.2998,-0.014052353896103894
ENST00000085219.9,ENST00000303115.7,4.6189,6.8912,0.44969199178644764
ENST00000085219.9,ENST00000369304.7,4.6189,3.0305,0.38369670250030197
ENST00000085219.9,ENST00000262407.5,4.6189,4.3017,0.38629363449691995
ENST00000085219.9,ENST00000263087.8,4.6189,2.5288,0.36616741152313076
ENST00000085219.9,ENST00000302278.7,4.6189,8.4338,0.6235958449088055
ENST00000085219.9,ENST00000296181.8,4.6189,6.086,0.49026749382963114
ENST00000085219.9,ENST00000222573.4,4.6189,4.0935,0.6372146394492088
ENST00000085219.9,ENST00000263923.4,4.6189,5.6832,0.44969199178644764
ENST00000085219.9,ENST00000332556.4,4.6189,7.9342,0.6931694649112212
ENST00000085219.9,ENST00000347609.8,4.6189,-9.9658,0.697381930184805
